Start profiling...
STAGE:2023-03-21 23:08:33 15306:15306 ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2023-03-21 23:08:37 15306:15306 ActivityProfilerController.cpp:300] Completed Stage: Collection
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.015914
Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.238752
Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.030333
Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.056123
Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.070774
Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.003001
Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.013220
Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.071318
Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.007909
Train Epoch: 3 [24960/60000 (42%)]	Loss: 0.051853
Train Epoch: 3 [25600/60000 (43%)]	Loss: 0.112647
Train Epoch: 3 [26240/60000 (44%)]	Loss: 0.015600
Train Epoch: 3 [26880/60000 (45%)]	Loss: 0.008808
Train Epoch: 3 [27520/60000 (46%)]	Loss: 0.116015
Train Epoch: 3 [28160/60000 (47%)]	Loss: 0.060348
Train Epoch: 3 [28800/60000 (48%)]	Loss: 0.078415
